index,wind_BE,wind_DE,wind_DK,wind_NL,wind_NO,wind_UK
386,0.5394,0.3002,0.5198,0.4316,0.9883,0.7927
387,0.5921,0.3238,0.5394,0.47,0.9878,0.7743
388,0.6391,0.3449,0.5697,0.5036,0.9874,0.765
389,0.6974,0.3672,0.5796,0.5475,0.9865,0.8162
390,0.775,0.403,0.5914,0.6212,0.9842,0.8059
391,0.8236,0.4543,0.6093,0.6799,0.9793,0.6844
392,0.8608,0.5179,0.6355,0.7315,0.9706,0.4916
393,0.8932,0.5798,0.6784,0.7837,0.9664,0.4002
394,0.852,0.6045,0.7199,0.7576,0.9649,0.4651
395,0.8133,0.632,0.7377,0.7347,0.9621,0.7081
396,0.7705,0.6486,0.7432,0.7125,0.9592,0.9554
397,0.7363,0.6635,0.7541,0.6938,0.958,0.9877
398,0.6383,0.6529,0.7574,0.6071,0.9654,0.9473
399,0.5809,0.5806,0.7694,0.5286,0.9712,0.8711
400,0.5755,0.5468,0.7583,0.5111,0.9743,0.8826
401,0.6043,0.5079,0.7059,0.5023,0.9808,0.988
402,0.672,0.4252,0.6332,0.5282,0.986,0.9478
403,0.7572,0.3997,0.5415,0.6015,0.9899,0.8304
404,0.8437,0.4629,0.4909,0.7011,0.9902,0.7516
405,0.9115,0.5094,0.5277,0.7794,0.9897,0.7823
406,0.9544,0.5617,0.5945,0.8519,0.9895,0.7841
407,0.9715,0.6166,0.6207,0.8989,0.989,0.7081
408,0.9856,0.6787,0.6155,0.9348,0.9884,0.4986
409,0.9847,0.7528,0.6744,0.9534,0.9872,0.3947
410,0.9851,0.7794,0.7746,0.9571,0.9851,0.36
411,0.9635,0.796,0.8359,0.9373,0.9766,0.314
412,0.8732,0.822,0.8719,0.8632,0.9474,0.3164
413,0.7008,0.8354,0.913,0.73,0.9033,0.3772
414,0.7267,0.831,0.9382,0.7407,0.898,0.5152
415,0.6011,0.8179,0.9403,0.6311,0.9412,0.6263
416,0.5432,0.7738,0.9269,0.5767,0.9818,0.6475
417,0.4736,0.6709,0.9102,0.4862,0.9896,0.6644
418,0.4682,0.5211,0.8515,0.4237,0.9588,0.8443
419,0.5453,0.4028,0.7211,0.4222,0.8599,0.9151
420,0.663,0.3364,0.5516,0.4771,0.7014,0.9187
421,0.7482,0.3202,0.3744,0.5231,0.6161,0.9155
422,0.7684,0.3053,0.2734,0.5297,0.5189,0.8628
423,0.7253,0.2942,0.2355,0.5132,0.4944,0.8223
424,0.6269,0.3297,0.2109,0.479,0.4589,0.7733
425,0.5818,0.4369,0.2219,0.4901,0.4376,0.6692
426,0.68,0.5619,0.3135,0.5781,0.4603,0.5027
427,0.6996,0.5844,0.4208,0.6107,0.4941,0.3893
428,0.7113,0.6342,0.5171,0.6544,0.5663,0.392
429,0.6568,0.6807,0.558,0.6474,0.5884,0.4567
430,0.622,0.6822,0.5861,0.6214,0.617,0.5966
431,0.6532,0.6705,0.6039,0.628,0.6555,0.6462
432,0.5995,0.6498,0.6147,0.5813,0.7189,0.6608
433,0.5672,0.6229,0.6236,0.5537,0.7693,0.697
434,0.5731,0.6253,0.6393,0.553,0.7852,0.7003
435,0.5623,0.6362,0.6224,0.5524,0.7894,0.6644
436,0.6069,0.6037,0.6117,0.5595,0.8355,0.6096
437,0.7063,0.5678,0.5955,0.6107,0.8094,0.5013
438,0.8106,0.5179,0.5582,0.6703,0.7394,0.2732
439,0.8912,0.4806,0.5152,0.7283,0.7086,0.3065
440,0.9476,0.4954,0.4959,0.8016,0.712,0.4623
